|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
21|8915|федеральное государственное образовательное бюджетное учреждение среднего профессионального образования «Ростовский-на-Дону государственный колледж связи и информатики»|Ростовская область| г. Ростов-на-Дону|Государственный головной ВУЗ|ул. Тургеневская, д. 10/6, г. Ростов-на-Дону, Ростовская область, 344082|1873 от 26.09.2011 (Бессрочная)|['080108', '080110', '080501', '090108', '210404', '210406', '210406', '210407', '210501', '230105', '230105', '230106']
22|9190|Федеральное государственное бюджетное учреждение науки Институт леса Карельского научного центра Российской академии наук|Республика Карелия|г. Петрозаводск|Негосударственный головной ВУЗ|185910, Российская Федерация, Республика Карелия, г. Петрозаводск, ул. Пушкинская, д. 11|0064 от 29.05.2012 (Бессрочная)|['350602']
23|343|Частное образовательное учреждение высшего образования «Байкальский экономико-правовой институт»|Республика Бурятия|г. Улан-Удэ|Негосударственный головной ВУЗ|670047, Россия, Республика Бурятия, г. Улан-Удэ, ул. Сахьяновой, дом 9|2662 от 12.10.2017 (Бессрочная)|['030300', '030301', '030500', '030501', '080100', '080105', '080109', '080500', '080507']
24|8803|Марийский филиал Автономной некоммерческой организации высшего профессионального образования «Московская открытая социальная академия»|Республика Марий Эл| г. Йошкар-Ола|Негосударственный филиал|424003, Республика Марий Эл, г. Йошкар-Ола, Ленинский просп., д. 56а|0820 от 03.03.2011 (Бессрочная)|['030300', '030301', '030500', '030501', '080100', '080109', '080500', '080507', '090102']
25|531|Негосударственное образовательное частное учреждение высшего профессионального образования «Институт русского театра»|г. Москва|г. Москва|Негосударственный головной ВУЗ|Россия, 125252, г. Москва, ул. Зорге, д. 24, корпус Б|1312 от 11.03.2015 (Бессрочная)|['030602', '070201', '070204', '070304', '070601', '071200', '080507']
26|7043|Федеральное государственное образовательное учреждение среднего профессионального образования «Московский издательско-полиграфический колледж имени Ивана Федорова»|г. Москва| г. Москва|Государственный головной ВУЗ|Ярославское шоссе, д. 5, г. Москва, г. Москва, 129337|1315 от 24.05.2011 (Бессрочная)|['030902', '030902', '032401', '070602', '080110', '150411', '260910', '261203', '261203']
27|5661|Лиховской техникум железнодорожного транспорта - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Ростовский государственный университет путей сообщения»|Ростовская область|г. Каменск-Шахтинск|Негосударственный филиал|347820, Ростовская область, г. Каменск-Шахтинский, мкр. Лиховской, пер. Строителей, д. 27а|2118 от 26.04.2016 (Бессрочная)|['230201', '230206', '270203']
28|9202|Федеральное государственное бюджетное учреждение науки Институт механики сплошных сред Уральского отделения Российской академии наук|Пермский край|г. Пермь|Негосударственный головной ВУЗ|Российская Федерация, 614013, г. Пермь, ул. Академика Королева, 1|0165 от 17.07.2012 (Бессрочная)|['010601']
29|2244|Филиал «Угреша» государственного бюджетного образовательного учреждения высшего образования Московской области «Университет «Дубна»|Московская область|г. Дзержинский|Негосударственный филиал|140090, Московская область, г. Дзержинский, ул. Академика Жукова, д. 24|2068 от 08.04.2016 (Бессрочная)|['050306', '090302', '220301']
30|2509|Таймырский филиал государственного автономного образовательного учреждения высшего образования Ленинградской области «Ленинградский государственный университет имени А.С. Пушкина»|Красноярский край|г. Дудинка|Государственный филиал|647000, Красноярский край, Таймырский (Долгано-Ненецкий) Автономный округ, г. Дудинка, ул. Щорса, д. 1|2387 от 15.09.2016 (Бессрочная)|['030501', '080504', '080507']
